Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||10224.50|||A0002-00000656|08-11-2023|10224.50|DEPOSITOS|123-009694/0|2023-11-08|10224.50|175  
||113607.00|||A0002-00000761|22-11-2023|113607.00|DEPOSITOS|123-009694/0|2023-11-22|113607.00|185  
||1825345.50|||A0002-00000719|15-11-2023|1825345.50|DEPOSITOS|123-009694/0|2023-11-09|270000.00|173  
||1825345.50|||A0002-00000719|15-11-2023|1825345.50|DEPOSITOS|123-009694/0|2023-11-10|300000.00|173  
||1825345.50|||A0002-00000719|15-11-2023|1825345.50|DEPOSITOS|123-009694/0|2023-11-21|1225345.50|173  
||1825345.50|||A0002-00000719|15-11-2023|1825345.50|DEPOSITOS|123-009694/0|2023-11-22|30000.00|173  
||980100.00|||A0002-00000676|13-11-2023|980100.00|DEPOSITOS|123-009694/0|2023-11-06|980000.00|78  
||980100.00|||A0002-00000676|13-11-2023|980100.00|DEPOSITOS|123-009694/0|2023-11-10|100.00|78  
||136730.00|||A0002-00000767|22-11-2023|136730.00|DEPOSITOS|123-009694/0|2023-11-23|136730.00|185  
||220220.00|||A0002-00000768|22-11-2023|220220.00|DEPOSITOS|123-009694/0|2023-11-23|220220.00|191  
||277706.00|||A0002-00000702|15-11-2023|277706.00|DEPOSITOS|123-009694/0|2023-11-16|277706.00|165  
||75201.50|||A0002-00000720|15-11-2023|75201.50|DEPOSITOS|123-009694/0|2023-11-16|75201.50|173  
||683650.00|||A0002-00000709|15-11-2023|683650.00|DEPOSITOS|123-009694/0|2023-11-15|683650.00|165  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|DEPOSITOS|123-009694/0|2023-10-06|3000000.00|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|DEPOSITOS|123-009694/0|2023-10-06|2833343.40|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|CHEQUES DE TERCEROS|15|2023-09-28|5000000.00|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|CHEQUES DE TERCEROS|40|2023-10-19|2252438.58|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|Retenciones SICORE - Impto. a las Ganancias|0001-00010949|2023-10-12|37838.42|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|Retenciones IIBB Santa Fe|002632|2023-10-12|80223.00|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|Retenciones IIBB Santa Fe|002565|2023-09-28|108000.00|136  
||13370500.00|||A0002-00000448|06-10-2023|13370500.00|Retenciones SICORE - Impto. a las Ganancias|2021-01944|2023-09-28|58656.60|136  
||975260.00|||A0002-00000638|07-11-2023|975260.00|DEPOSITOS|123-009694/0|2023-08-23|90000.00|171  
||975260.00|||A0002-00000638|07-11-2023|975260.00|DEPOSITOS|123-009694/0|2023-11-03|200000.00|171  
||975260.00|||A0002-00000638|07-11-2023|975260.00|DEPOSITOS|123-009694/0|2023-11-09|675260.00|171  
||975260.00|||A0002-00000638|07-11-2023|975260.00|DEPOSITOS|123-009694/0|2023-11-10|10000.00|171  
||502150.00|||A0002-00000525|19-10-2023|502150.00|DEPOSITOS|123-009694/0|2023-11-07|495425.00|58  
||502150.00|||A0002-00000525|19-10-2023|502150.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-00002212|2023-11-03|3820.00|58  
||502150.00|||A0002-00000525|19-10-2023|502150.00|Retenciones II.BB. Buenos Aires|0001-2023-0007120|2023-11-03|2905.00|58  
||697323.00|||A0002-00000587|01-11-2023|697323.00|DEPOSITOS|123-007383/3|2023-11-03|374314.00|148  
||697323.00|||A0002-00000587|01-11-2023|697323.00|DEPOSITOS|123-007383/3|2023-10-10|300000.00|148  
||697323.00|||A0002-00000587|01-11-2023|697323.00|Retenciones II.BB. Capital Federal|0001-00018501|2023-11-06|17289.00|148  
||697323.00|||A0002-00000587|01-11-2023|697323.00|DEPOSITOS|123-007383/3|2023-11-06|5720.00|148  
||125840.00|||A0002-00000694|15-11-2023|125840.00|CHEQUES DE TERCEROS|24342314|2023-11-01|75000.00|181  
||125840.00|||A0002-00000694|15-11-2023|125840.00|DEPOSITOS|123-009694/0|2023-11-21|50103.40|181  
||125840.00|||A0002-00000694|15-11-2023|125840.00|Retenciones SICORE - Impto. a las Ganancias|0001-00002110|2023-11-21|736.60|181  
||95711.00|||A0002-00000616|06-11-2023|95711.00|DEPOSITOS|123-009694/0|2023-11-06|95711.00|83  
||50820.00|||A0002-00000590|01-11-2023|50820.00|DEPOSITOS|123-007383/3|2023-11-01|50820.00|148  
||1428441.30|||A0002-00000596|02-11-2023|1428441.30|DEPOSITOS|123-009694/0|2023-11-03|1428441.00|122  
||1428441.30|||A0002-00000596|02-11-2023|1428441.30|EFECTIVO||2023-11-06|0.30|122  
||550550.00|||A0002-00000771|22-11-2023|550550.00|DEPOSITOS|123-009694/0|2023-11-27|542793.40|191  
||550550.00|||A0002-00000771|22-11-2023|550550.00|Retenciones SICORE - Impto. a las Ganancias|0001-00053924|2023-11-27|7756.60|191  
||847726.00|||A0002-00000738|16-11-2023|847726.00|DEPOSITOS|123-009694/0|2023-11-24|847726.00|177  
||157300.00|||A0002-00000742|17-11-2023|157300.00|DEPOSITOS|123-009694/0|2023-11-17|157300.00|161  
||1132560.00|||A0002-00000605|03-11-2023|1132560.00|DEPOSITOS|123-009694/0|2023-11-03|1096463.40|187  
||1132560.00|||A0002-00000605|03-11-2023|1132560.00|Retenciones SICORE - Impto. a las Ganancias|00001-2023-00001162|2023-11-03|17376.60|187  
